2026-04-06 19:50:46 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 19:50:46 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 19:50:46 | DEBUG    | api.routes | SCAN step 6: loaded 2 users, 18 total embeddings
2026-04-06 19:50:46 | DEBUG    | api.routes | SCAN step 6: best_match=4  name=Vedant Vasant More  score=0.8538  threshold=0.55
2026-04-06 19:50:46 | INFO     | api.routes | SCAN result=marked  user=Vedant Vasant More  id=4  time=19:50:46  confidence=0.8538
2026-04-06 19:50:54 | DEBUG    | api.routes | SCAN step 3: running face detection on frame 1280x720
2026-04-06 19:50:54 | DEBUG    | api.routes | SCAN step 3: detected 1 face(s)
2026-04-06 19:50:54 | DEBUG    | api.routes | SCAN step 4: aligning face box=[449, 321, 722, 594]
2026-04-06 19:50:54 | DEBUG    | api.routes | SCAN step 4: aligned face shape=(112, 112, 3)
2026-04-06 19:50:54 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 19:50:55 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 19:50:55 | DEBUG    | api.routes | SCAN step 6: loaded 2 users, 18 total embeddings
2026-04-06 19:50:55 | DEBUG    | api.routes | SCAN step 6: best_match=4  name=Vedant Vasant More  score=0.8643  threshold=0.55
2026-04-06 19:50:55 | INFO     | api.routes | SCAN result=already_marked  user=Vedant Vasant More  id=4  checked_in_at=19:50:46
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 3: running face detection on frame 1280x720
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 3: detected 1 face(s)
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 4: aligning face box=[472, 332, 733, 593]
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 4: aligned face shape=(112, 112, 3)
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 6: loaded 2 users, 18 total embeddings
2026-04-06 19:51:01 | DEBUG    | api.routes | SCAN step 6: best_match=5  name=Vedant Vasant More  score=0.6682  threshold=0.55
2026-04-06 19:51:01 | INFO     | api.routes | SCAN result=already_marked  user=Vedant Vasant More  id=5  checked_in_at=19:50:39
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 3: running face detection on frame 1280x720
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 3: detected 1 face(s)
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 4: aligning face box=[438, 340, 714, 616]
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 4: aligned face shape=(112, 112, 3)
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 6: loaded 2 users, 18 total embeddings
2026-04-06 19:51:05 | DEBUG    | api.routes | SCAN step 6: best_match=None  name=None  score=0.4634  threshold=0.55
2026-04-06 19:51:05 | INFO     | api.routes | SCAN result=no_match  best_score=0.4634  threshold=0.55
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 3: running face detection on frame 1280x720
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 3: detected 1 face(s)
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 4: aligning face box=[454, 332, 744, 622]
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 4: aligned face shape=(112, 112, 3)
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 6: loaded 3 users, 23 total embeddings
2026-04-06 19:51:38 | DEBUG    | api.routes | SCAN step 6: best_match=6  name=ss  score=0.8567  threshold=0.55
2026-04-06 19:51:38 | INFO     | api.routes | SCAN result=marked  user=ss  id=6  time=19:51:38  confidence=0.8567
2026-04-06 19:54:40 | INFO     | api.server | Smart Attendance API shutting down
2026-04-06 19:54:48 | INFO     | api.server | ============================================================
2026-04-06 19:54:48 | INFO     | api.server | Smart Attendance API — session start
2026-04-06 19:54:48 | INFO     | api.server | ============================================================
2026-04-06 19:54:48 | INFO     | api.server | Initialising database schema...
2026-04-06 19:54:48 | INFO     | api.server | Database ready
2026-04-06 19:54:48 | INFO     | api.server | Loading vision pipeline (detector / aligner / embedder)...
2026-04-06 19:54:48 | DEBUG    | matplotlib | matplotlib data path: /home/vedant/miniconda3/envs/face_env/lib/python3.10/site-packages/matplotlib/mpl-data
2026-04-06 19:54:48 | DEBUG    | matplotlib | CONFIGDIR=/home/vedant/.config/matplotlib
2026-04-06 19:54:48 | DEBUG    | matplotlib | interactive is False
2026-04-06 19:54:48 | DEBUG    | matplotlib | platform is linux
2026-04-06 19:54:48 | DEBUG    | matplotlib | CACHEDIR=/home/vedant/.cache/matplotlib
2026-04-06 19:54:48 | DEBUG    | matplotlib.font_manager | Using fontManager instance from /home/vedant/.cache/matplotlib/fontlist-v390.json
2026-04-06 19:54:50 | INFO     | api.server | FaceDetector ready
2026-04-06 19:54:50 | INFO     | api.server | FaceAligner ready
2026-04-06 19:54:52 | INFO     | api.server | FaceEmbedder (ArcFace) ready — face scan is available
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 3: running face detection on frame 1280x720
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 3: detected 1 face(s)
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 4: aligning face box=[455, 349, 751, 645]
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 4: aligned face shape=(112, 112, 3)
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 6: loaded 1 users, 10 total embeddings
2026-04-06 19:55:38 | DEBUG    | api.routes | SCAN step 6: best_match=1  name=ss  score=0.9136  threshold=0.55
2026-04-06 19:55:38 | INFO     | api.routes | SCAN result=marked  user=ss  id=1  time=19:55:38  confidence=0.9136
2026-04-06 19:59:45 | INFO     | api.server | Smart Attendance API shutting down
2026-04-06 20:05:45 | INFO     | api.server | ============================================================
2026-04-06 20:05:45 | INFO     | api.server | Smart Attendance API — session start
2026-04-06 20:05:45 | INFO     | api.server | ============================================================
2026-04-06 20:05:45 | INFO     | api.server | Initialising database schema...
2026-04-06 20:05:45 | INFO     | api.server | Database ready
2026-04-06 20:05:45 | INFO     | api.server | Loading vision pipeline (detector / aligner / embedder)...
2026-04-06 20:05:45 | DEBUG    | matplotlib | matplotlib data path: /home/vedant/miniconda3/envs/face_env/lib/python3.10/site-packages/matplotlib/mpl-data
2026-04-06 20:05:45 | DEBUG    | matplotlib | CONFIGDIR=/home/vedant/.config/matplotlib
2026-04-06 20:05:45 | DEBUG    | matplotlib | interactive is False
2026-04-06 20:05:45 | DEBUG    | matplotlib | platform is linux
2026-04-06 20:05:46 | DEBUG    | matplotlib | CACHEDIR=/home/vedant/.cache/matplotlib
2026-04-06 20:05:46 | DEBUG    | matplotlib.font_manager | Using fontManager instance from /home/vedant/.cache/matplotlib/fontlist-v390.json
2026-04-06 20:05:47 | INFO     | api.server | FaceDetector ready
2026-04-06 20:05:47 | INFO     | api.server | FaceAligner ready
2026-04-06 20:05:49 | INFO     | api.server | FaceEmbedder (ArcFace) ready — face scan is available
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 3: running face detection on frame 1280x720
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 3: detected 1 face(s)
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 4: aligning face box=[459, 356, 718, 615]
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 4: aligned face shape=(112, 112, 3)
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 5: extracting embedding
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 5: embedding shape=(512,)
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 6: loaded 2 users, 20 total embeddings
2026-04-06 20:06:17 | DEBUG    | api.routes | SCAN step 6: best_match=2  name=44  score=0.7622  threshold=0.55
2026-04-06 20:06:17 | INFO     | api.routes | SCAN result=marked  user=44  id=2  time=20:06:17  confidence=0.7622
